       0,6	 0,0162095	-0,0239338	  -1,13292
      1,25	 0,0162095	 -0,002744	  -1,12733
       1,9	 0,0178559	 0,0152444	   -1,2348
       2,6	 0,0156607	-0,0257631	  -1,10353
      3,25	 0,0156607	-0,00625022	   -1,0954
       3,9	 0,0175815	 0,0126529	  -1,29451
      4,55	 0,0151119	 0,0309462	  -1,06482
       4,6	 0,0151119	-0,0297267	  -1,06288
      5,25	 0,0156607	-0,0120431	  -1,10624
       5,9	 0,0175815	 0,0210373	  -1,21634
      6,55	 0,0151119	 0,0283547	  -1,06982
      7,25	 0,0153863	-0,0112809	  -1,09726
       7,9	 0,0175815	0,00792711	  -1,17594
      8,55	 0,0153863	 0,0237813	  -1,09514
      9,25	 0,0175815	-0,0185982	  -1,21956
       9,9	 0,0178559	0,00442089	  -1,16264
     10,55	 0,0156607	 0,0196653	  -1,10641
     11,25	 0,0173071	-0,0355196	  -1,24124
      11,9	 0,0159351	 -0,002744	  -1,08464
     12,55	 0,0159351	 0,0120431	  -1,13749
      13,2	 0,0175815	 0,0344524	  -1,25826
     13,25	 0,0175815	 -0,035672	  -1,24666
      13,9	 0,0181303	-0,0147871	  -1,26072
     14,55	 0,0156607	0,00503067	  -1,11259
      15,2	 0,0173071	 0,0147871	  -1,23082
      15,9	 0,0175815	  -0,02058	  -1,21371
     16,55	 0,0159351	-0,00182933	  -1,13969
      17,2	 0,0175815	 0,0190556	  -1,28587
      17,9	 0,0153863	-0,0263729	  -1,08193
     18,55	 0,0159351	-0,00746978	  -1,13901
      19,2	 0,0178559	 0,0115858	  -1,24014
     19,85	 0,0156607	 0,0304889	  -1,11411
      19,9	 0,0156607	-0,0330804	  -1,10675
     20,55	 0,0156607	-0,0125004	  -1,12038
      21,2	 0,0181303	   0,01372	  -1,22116
     21,85	 0,0156607	 0,0234764	  -1,11166
     22,55	 0,0156607	-0,0221044	  -1,12182
      23,2	 0,0178559	0,000609778	  -1,19796
     23,85	 0,0170327	0,00929911	  -1,24335
     24,55	 0,0167583	-0,0364342	  -1,21888
      25,2	 0,0173071	 -0,002744	  -1,22531
     25,85	 0,0153863	 0,0118907	  -1,11352
      26,5	 0,0173071	 0,0280498	  -1,27418
      27,2	 0,0159351	-0,0147871	  -1,11242
     27,85	 0,0162095	0,00243911	  -1,11649
      28,5	 0,0173071	 0,0112809	  -1,22802
      29,2	 0,0153863	-0,0100613	   -1,1142
     29,85	 0,0159351	-0,00259156	  -1,10802
      30,5	 0,0175815	0,00655511	  -1,25402
      31,2	 0,0156607	-0,0155493	   -1,1275
     31,85	 0,0156607	-0,00442089	  -1,10344
      32,5	 0,0175815	0,00152444	  -1,24911
     33,15	 0,0151119	 0,0306413	  -1,05856
      33,2	 0,0151119	-0,0300316	   -1,0561
     33,85	 0,0156607	-0,0120431	  -1,09464
      34,5	 0,0178559	0,00121956	  -1,21879
     35,15	 0,0151119	  0,026068	  -1,05619
     35,85	 0,0153863	-0,0173787	  -1,09684
      36,5	 0,0173071	0,00304889	  -1,11903
     37,15	 0,0151119	 0,0207324	  -1,07727
     37,85	 0,0153863	-0,0216471	   -1,1031
      38,5	 0,0170327	-0,00518311	  -1,13715
     39,15	 0,0151119	 0,0157018	  -1,07304
     39,85	 0,0151119	-0,0253058	  -1,07905
      40,5	 0,0173071	-0,00731733	  -1,19372
     41,15	 0,0153863	 0,0128053	  -1,09667
     41,85	 0,0151119	 -0,028812	  -1,07389
      42,5	 0,0175815	-0,00990889	  -1,21879
     43,15	 0,0156607	0,00792711	  -1,12309
      43,8	 0,0170327	   0,02744	  -1,25911
      44,5	 0,0175815	-0,00579289	  -1,26927
     45,15	 0,0156607	0,00564044	  -1,11039
      45,8	 0,0173071	 0,0132627	  -1,25462
      46,5	 0,0173071	-0,00929911	  -1,26614
     47,15	 0,0156607	-0,00381111	   -1,1092
      47,8	 0,0175815	 0,0167689	  -1,30603
      48,5	 0,0175815	-0,0282022	  -1,28265
     49,15	 0,0156607	-0,00716489	  -1,12174
      49,8	 0,0178559	 0,0118907	  -1,19415
     50,45	 0,0178559	 0,0259156	  -1,28993
     51,15	 0,0159351	 -0,019208	  -1,11327
      51,8	 0,0181303	  0,001372	  -1,12097
     52,45	 0,0156607	 0,0251533	  -1,07397
     53,15	 0,0151119	-0,0201227	  -1,05263
      53,8	 0,0178559	 -0,004116	  -1,20033
     54,45	 0,0156607	 0,0153969	  -1,08625
     55,15	 0,0156607	  -0,02744	  -1,06508
      55,8	 0,0175815	-0,00701244	  -1,19254
     56,45	 0,0153863	 0,0108236	  -1,07321
      57,1	 0,0148375	 0,0278973	  -1,03916
     57,15	 0,0148375	-0,0312511	  -1,03755
      57,8	 0,0173071	-0,00320133	  -1,22404
     58,45	 0,0153863	0,00716489	  -1,08041
      59,1	 0,0151119	 0,0236289	  -1,07084
      59,8	 0,0170327	-0,00792711	  -1,21908
